,file,cls,score,box
0,301,1,0.9999452829360962,[0.33998612 0.3295668  0.4416176  0.4317798 ]
1,301,2,0.9950214624404907,[0.32751092 0.6224041  0.42825612 0.72219974]
2,301,3,0.9993327260017395,[0.4332147 0.5678965 0.5370955 0.6723039]
3,301,4,0.8928776383399963,[0.43379593 0.23442678 0.53593165 0.3334164 ]
4,301,5,0.9702696800231934,[0.54909766 0.6575142  0.6475582  0.7574493 ]
5,301,6,0.9946414232254028,[0.67580736 0.6297191  0.7754536  0.73714584]
6,301,7,0.9456943869590759,[0.7437033  0.62436265 0.84072244 0.73244333]
7,301,8,0.9875392913818359,[0.7681304  0.5988738  0.86835486 0.7012821 ]
8,301,9,0.8969248533248901,[0.7573405  0.6194278  0.85816675 0.72191745]
9,301,10,0.9890543222427368,[0.65137815 0.30507067 0.7514315  0.40624997]
10,301,11,0.9481631517410278,[0.61904997 0.67192477 0.72049123 0.77877   ]
11,301,12,0.7963904142379761,[0.6180224  0.67914385 0.7183003  0.7851026 ]
12,301,13,0.9969117045402527,[0.5792802  0.7410767  0.67919797 0.84287953]
13,301,14,0.9995819926261902,[0.6664903  0.7260221  0.76469624 0.8291294 ]
14,301,15,0.9849891662597656,[0.5319768 0.7053084 0.6343429 0.8058829]
15,301,16,0.9948337078094482,[0.76634276 0.67213655 0.8669377  0.77168775]
16,301,17,0.9912497997283936,[0.5104132 0.4185749 0.6072624 0.5214458]
17,301,18,0.952409029006958,[0.51855147 0.6454342  0.6162161  0.7478915 ]
18,301,19,0.9523211121559143,[0.46170798 0.27232066 0.55738306 0.37049577]
19,302,1,0.9999257326126099,[0.34678695 0.49949092 0.44871247 0.60055417]
20,302,2,0.991078794002533,[0.28143287 0.7709122  0.38190398 0.8718318 ]
21,302,3,0.9987533092498779,[0.39563972 0.7281023  0.49461997 0.83217174]
22,302,4,0.9318510293960571,[0.4417974  0.42044482 0.53799325 0.5202855 ]
23,302,5,0.7724305987358093,[0.5229738  0.81690997 0.62127984 0.920753  ]
24,302,6,0.9924982190132141,[0.63231504 0.77548987 0.73296314 0.8735291 ]
25,302,7,0.9573760032653809,[0.70738155 0.77089095 0.80720603 0.87640935]
26,302,8,0.9928402900695801,[0.7341969  0.74821573 0.8340199  0.8509773 ]
27,302,9,0.9128708243370056,[0.72228444 0.7652572  0.8232876  0.8718293 ]
28,302,10,0.993669331073761,[0.6210984  0.4984579  0.71866196 0.6001572 ]
29,302,11,0.976118266582489,[0.5883892  0.8108999  0.683053   0.91150695]
30,302,12,0.7762491703033447,[0.5929717 0.8336085 0.6905121 0.936504 ]
31,302,13,0.9567570686340332,[0.55785286 0.8880642  0.6544077  0.98691833]
32,302,14,0.9981227517127991,[0.63397    0.85604924 0.734876   0.9578746 ]
33,302,15,0.9956573247909546,[0.49428788 0.84748596 0.59207964 0.94489604]
34,302,16,0.987396776676178,[0.72644985 0.8133767  0.8280627  0.9155617 ]
35,302,17,0.997227132320404,[0.49789584 0.61297923 0.5965883  0.7144449 ]
36,302,18,0.7680608034133911,[0.46883047 0.80857664 0.5711485  0.9086951 ]
37,302,19,0.995385468006134,[0.47444978 0.46846685 0.5738339  0.569886  ]
38,303,1,0.9999728202819824,[0.37951258 0.40624478 0.47721174 0.5088716 ]
39,303,2,0.9949369430541992,[0.36370596 0.7142285  0.46586806 0.8145836 ]
40,303,3,0.9954116940498352,[0.4758528  0.63924766 0.5802956  0.740755  ]
